date,region,district,market_name,commodity,unit,price_type,price_ugx,price_usd
2006-01-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,298.4,0.17
2006-01-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,345.42,0.2
2006-01-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1013.4,0.58
2006-02-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,296.59,0.17
2006-02-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,347.23,0.2
2006-02-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1028.64,0.59
2006-03-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,296.68,0.17
2006-03-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,394.36,0.22
2006-03-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1133.91,0.65
2006-04-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,291.77,0.17
2006-04-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,393.8,0.22
2006-04-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1074.0,0.61
2006-05-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,291.77,0.17
2006-05-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,429.6,0.24
2006-05-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1292.38,0.74
2006-06-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,366.35,0.21
2006-06-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,395.99,0.23
2006-06-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1258.17,0.72
2006-07-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,370.18,0.21
2006-07-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,300.63,0.17
2006-07-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1109.58,0.63
2006-08-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,312.28,0.18
2006-08-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,216.57,0.12
2006-08-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1098.45,0.63
2006-09-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,255.54,0.15
2006-09-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,267.71,0.15
2006-09-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1134.14,0.65
2006-10-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,265.75,0.15
2006-10-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,271.91,0.15
2006-10-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1140.96,0.65
2006-11-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,280.55,0.16
2006-11-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,303.11,0.17
2006-11-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1183.46,0.67
2006-12-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,290.24,0.17
2006-12-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,337.11,0.19
2006-12-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1244.98,0.71
2007-01-15,Busia,Samia-bugwe,Busia,Maize,KG,Wholesale,281.57,0.16
2007-01-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,264.33,0.15
2007-01-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1206.61,0.69
2007-02-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,259.06,0.15
2007-02-15,Kampala,Central Kampala,Owino,Rice,KG,Wholesale,1229.14,0.7
2007-03-15,Kampala,Central Kampala,Owino,Maize,KG,Wholesale,253.31,0.14
