year,country,region,district,district_pcode,female_total,male_total,total_population,female_00_04,male_00_04,total_00_04,female_05_09,male_05_09,total_05_09,female_10_14,male_10_14,total_10_14,female_15_19,male_15_19,total_15_19,female_20_24,male_20_24,total_20_24,female_25_29,male_25_29,total_25_29,female_30_34,male_30_34,total_30_34,female_35_39,male_35_39,total_35_39,female_40_44,male_40_44,total_40_44,female_45_49,male_45_49,total_45_49,female_50_54,male_50_54,total_50_54,female_55_59,male_55_59,total_55_59,female_60_64,male_60_64,total_60_64,female_65_69,male_65_69,total_65_69,female_70_74,male_70_74,total_70_74,female_75_79,male_75_79,total_75_79,female_80plus,male_80plus,total_80plus
2022,Uganda,Central,Buikwe,UG1001,262652,252022,514674,44534,46662,91196,38777,40599,79376,34278,34891,69169,30741,31179,61920,24825,22742,47567,20992,17810,38802,16719,13813,30532,13183,11085,24268,9626,8261,17887,7803,6906,14709,6603,5813,12416,4546,4143,8689,3691,3165,6856,1957,1770,3727,1935,1435,3370,1148,901,2049,1294,847,2141
2022,Uganda,Central,Bukomansimbi,UG1002,83534,81689,165223,14345,15275,29620,13295,14530,27825,12202,13348,25550,8412,9475,17887,5600,5566,11166,4941,4114,9055,4758,3618,8376,4101,3375,7476,3359,2613,5972,2752,2389,5141,2454,2035,4489,2237,1694,3931,1683,1281,2964,1052,807,1859,1035,664,1699,737,515,1252,571,390,961
2022,Uganda,Central,Butambala,UG1003,58087,57049,115136,10384,11097,21481,9235,10256,19491,8528,9343,17871,6575,6828,13403,4242,4063,8305,3621,3078,6699,3213,2444,5657,2720,2258,4978,2120,1740,3860,1772,1448,3220,1567,1442,3009,1214,1001,2215,993,752,1745,550,427,977,590,390,980,407,267,674,356,215,571
2022,Uganda,Central,Buvuma,UG1004,70586,81442,152028,15390,16288,31678,10008,10422,20430,6556,6873,13429,5724,6680,12404,7034,7581,14615,6892,7847,14739,5896,7044,12940,4456,5720,10176,3246,4250,7496,2114,3017,5131,1421,2274,3695,706,1408,2114,538,1017,1555,212,444,656,185,285,470,85,121,206,123,171,294
2022,Uganda,Central,Gomba,UG1005,90919,95538,186457,16771,18168,34939,14623,15615,30238,12835,14201,27036,8904,11124,20028,6607,7262,13869,5673,5571,11244,5372,4926,10298,4311,4152,8463,3565,3364,6929,2842,2870,5712,2536,2390,4926,2140,1875,4015,1728,1474,3202,905,930,1835,925,720,1645,599,476,1075,583,420,1003
2022,Uganda,Central,Kalangala,UG1006,32105,43141,75246,6197,6643,12840,3066,3281,6347,1961,2227,4188,2295,2637,4932,3945,4899,8844,4535,5854,10389,3695,5533,9228,2586,4315,6901,1421,2921,4342,941,1857,2798,552,1190,1742,320,701,1021,241,496,737,113,169,282,84,162,246,73,85,158,80,171,251
2022,Uganda,Central,Kalungu,UG1007,105735,100854,206589,17840,18805,36645,16460,17747,34207,14975,15812,30787,11591,12223,23814,7602,7077,14679,6568,5492,12060,5960,4546,10506,5464,4214,9678,3851,3171,7022,3474,2904,6378,2927,2448,5375,2681,2025,4706,2046,1562,3608,1275,985,2260,1291,749,2040,932,586,1518,798,508,1306
2022,Uganda,Central,Kampala,UG1008,959110,861592,1820702,132752,139806,272558,94953,97176,192129,83052,73229,156281,125878,90337,216215,154201,128545,282746,127598,108017,235615,83635,74380,158015,56645,51470,108115,33308,32737,66045,23271,24569,47840,15238,16254,31492,11216,10944,22160,6673,6423,13096,3883,3335,7218,2650,1825,4475,2023,1167,3190,2134,1378,3512
2022,Uganda,Central,Kassanda,UG1009,163849,171215,335064,30789,32702,63491,25434,27563,52997,21775,23485,45260,17119,19504,36623,14331,15530,29861,11252,11759,23011,10021,9331,19352,7988,7688,15676,6198,5660,11858,4816,4596,9412,4851,4340,9191,2908,3086,5994,2418,2288,4706,1394,1409,2803,1199,1114,2313,709,662,1371,647,498,1145
2022,Uganda,Central,Kayunga,UG1010,224908,215690,440598,40798,42330,83128,36519,38808,75327,32080,33725,65805,24302,26789,51091,17275,15606,32881,14469,11604,26073,12960,9506,22466,10623,8375,18998,8646,6821,15467,6972,5829,12801,5856,5059,10915,4189,3441,7630,3714,2801,6515,1987,1640,3627,2010,1460,3470,1269,971,2240,1239,925,2164
