year,primary_enrollment_gross_pct
1970,36.8144
1971,38.9296
1972,37.3493
1973,37.7401
1974,39.465
1975,42.3605
1976,43.7112
1977,46.5217
1978,47.8165
1979,46.9309
1980,48.5673
1981,51.1722
1982,57.377
1983,59.9551
1984,65.3845
1985,70.1265
1986,71.3323
1987,72.9804
1988,74.4516
1989,70.9637
1990,71.9451
1991,72.7517
1992,65.534
1993,70.1997
1994,70.2334
1995,70.332
1996,71.2086
1997,118.0668
1998,124.2916
1999,129.4931
2000,130.1606
2001,132.1155
2002,135.9386
2003,136.6263
2004,127.9067
2005,121.4733
2006,120.0999
2007,119.325
2008,122.4373
2009,123.9437
2010,121.3122
2011,113.8716
2012,113.7
2013,112.3299
2015,104.2492
2016,106.5403
2017,106.1696
