year,life_expectancy_years,infant_mortality_per_1000_live_births
1960,45.633,124.6
1961,46.271,122.7
1962,46.821,120.7
1963,47.378,119.1
1964,47.846,117.5
1965,48.303,115.9
1966,48.463,114.3
1967,49.006,112.7
1968,49.285,111.3
1969,49.505,110.1
1970,49.621,109.4
1971,47.147,109.4
1972,47.162,110
1973,46.992,111.4
1974,46.861,113.3
1975,46.517,115.8
1976,46.169,118.8
1977,45.84,121.7
1978,45.596,124.3
1979,45.385,126.1
1980,43.453,127.7
1981,43.456,127.4
1982,43.309,125.8
1983,43.489,123.1
1984,43.706,119.7
1985,45.496,116.6
1986,45.651,114.2
1987,47.36,112.2
1988,47.476,110.5
1989,47.488,109.2
1990,47.561,107.1
1991,47.549,104.8
1992,47.671,102.6
1993,47.681,100.7
1994,47.675,99.2
1995,47.706,98.1
1996,47.759,97.3
1997,48.026,96.4
1998,48.263,94.8
1999,48.977,92.4
2000,49.64,89.3
2001,50.576,85.5
2002,51.443,81.2
2003,52.414,76.6
2004,53.699,71.9
2005,54.926,67.3
2006,56.118,63
2007,57.248,58.9
2008,58.253,55.3
2009,59.157,52.7
2010,59.959,49.9
2011,60.791,47
2012,61.579,44.4
2013,62.353,42.9
2014,63.057,41.6
2015,63.831,40.3
2016,64.494,39.1
2017,65.174,38.1
2018,65.775,37.3
2019,66.354,36.9
2020,66.41,36.6
2021,66.45,36.4
2022,67.675,36.5
2023,68.252,36.2
2024,68.487,35.9
