market_id,market_name,district,region,latitude,longitude,country_iso3
6416,Adjumani (refugee settlement),Adjumani,Adjumani,3.34,31.78,UGA
6148,Arua,Arua Municipality,Arua,3.02,30.91,UGA
11824,Aura (UBoS),Terego,Arua,3.05,31.02,UGA
8718,Awindiri,Adjumani,Adjumani,3.37,31.78,UGA
8574,Ayilo1,Adjumani,Adjumani,3.29,31.94,UGA
8579,Ayilo2,Adjumani,Adjumani,3.26,31.95,UGA
8472,Basecamp,Kibale,Kamwenge,0.33,30.67,UGA
8719,Bel-Maling,Obongi,Moyo,3.47,31.61,UGA
6404,Bidibidi (refugee settlement),Aringa,Yumbe,3.36,31.35,UGA
8717,Bidibidi Reception (Zone 1),Aringa,Yumbe,3.48,31.37,UGA
8473,Bukere,Kyaka,Kyegegwa,0.38,31.1,UGA
2665,Busia,Samia-bugwe,Busia,0.47,34.09,UGA
8570,Bweyale,Kibanda,Kiryandongo,1.95,32.14,UGA
8474,Byabakora,Kyaka,Kyegegwa,0.33,31.08,UGA
6292,Fort Portal,Fort Portal Municipality,Kabarole,0.66,30.28,UGA
11825,Fort Portal (UBoS),Burahya,Kabarole,0.67,30.32,UGA
262,Gulu,Gulu Municipality,Gulu,2.77,32.31,UGA
11826,Gulu (UBoS),Omoro,Gulu,2.69,32.3,UGA
6151,Hoima,Bugahya,Hoima,1.43,31.35,UGA
259,Iganga,Kigulu,Iganga,0.61,33.47,UGA
6415,Imvepi (refugee settlement),Terego,Arua,3.23,31.28,UGA
8723,Jerusalem Main,Lamwo,Lamwo,3.35,32.45,UGA
260,Jinja,Jinja Municipality,Jinja,0.42,33.2,UGA
11827,Jinja (UBoS),Jinja Municipality,Jinja,0.44,33.22,UGA
2345,Kaabong,Dodoth,Kaabong,3.54,34.12,UGA
2692,Kabale,Kabale Municipality,Kabale,-1.25,29.99,UGA
8475,Kagoma,Buhaguzi,Hoima,1.15,30.75,UGA
8476,Kajaho,Isingiro,Isingiro,-0.94,30.75,UGA
11831,Kampala (UBoS),Central Kampala,Kampala,0.32,32.59,UGA
