park_id,park_name,region,districts,established_year,area_sq_km,unesco_status,latitude,longitude,key_wildlife,ecosystem
UGA-NP-001,Murchison Falls National Park,Northern,"Nwoya, Buliisa, Masindi, Kiryandongo",1952,3893.0,No,2.25,31.8,"Rothschild Giraffes, Elephants, Nile Crocodiles, Shoebill Storks, Lions","Savanna, Borassus Palm forest, River Nile"
UGA-NP-002,Queen Elizabeth National Park,Western,"Kasese, Kamwenge, Rubirizi, Rukungiri",1952,1978.0,UNESCO Biosphere Reserve,-0.2,30.0,"Tree-climbing Lions (Ishasha), Hippos, Elephants, Leopards, 600+ birds","Savanna, Wetlands, Kazinga Channel, Volcanic Crater Lakes"
UGA-NP-003,Kidepo Valley National Park,Northern,"Kaabong, Karenga",1962,1442.0,No,3.9,33.85,"Cheetahs, Lions, Ostriches, Bat-eared Foxes, Buffaloes, Zebras","Semi-arid savanna, Narus Valley, Kidepo sand rivers"
UGA-NP-004,Mount Elgon National Park,Eastern,"Mbale, Kapchorwa, Sironko, Kween, Bukwo",1992,1110.0,UNESCO Biosphere Reserve,1.15,34.55,"Mountain Elephants, Defassa Waterbucks, Black-and-white Colobus, 300+ birds","Montane forest, Moorland, Caldron volcano (Wagagai Peak 4321m)"
UGA-NP-005,Rwenzori Mountains National Park,Western,"Kasese, Bundibugyo, Bunyangabu",1991,996.0,UNESCO World Heritage Site,0.38,29.9,"Rwenzori Turaco, Giant Lobelias, Tree Hyraxes, Rwenzori Duikers","Glacial peaks (Margherita 5109m), Afro-alpine moorland, Bamboo"
UGA-NP-006,Kibale National Park,Western,"Kabarole, Kyenjojo, Kamwenge",1993,776.0,No,0.5,30.4,"1500+ Chimpanzees, 13 Primate species, Red Colobus, Forest Elephants",Medium altitude tropical moist evergreen and semi-deciduous forest
UGA-NP-007,Bwindi Impenetrable National Park,Western,"Kanungu, Kisoro, Rubanda",1991,321.0,UNESCO World Heritage Site,-1.05,29.65,"459 Mountain Gorillas (50% of global population), L'Hoest's Monkeys, 350+ birds","Afromontane rainforest, steep valleys, mist-covered canopies"
UGA-NP-008,Lake Mburo National Park,Western,"Kiruhura, Mbarara, Isingiro",1983,260.0,No,-0.6,30.95,"Zebras, Impalas, Elands, Topis, Leopards, Hippos, 350+ birds","Acacia savanna, 5 inland lakes, Papyrus swamps"
UGA-NP-009,Semuliki National Park,Western,Bundibugyo,1993,220.0,No,0.8,30.05,"Sempaya Hot Springs, Central African bird species, Pygmy Antelopes, De Brazza's Monkeys","Lowland tropical rainforest, Albertine Rift Valley floor"
UGA-NP-010,Mgahinga Gorilla National Park,Western,Kisoro,1991,33.7,Part of Virunga Conservation Area,-1.3667,29.65,"Mountain Gorillas (Nyakagezi group), Golden Monkeys, 3 Virunga Volcanoes","Afro-alpine volcanic slopes, Bamboo forest, Ericaceous belt"
