id,location_name,sector,subsector,pollutant,emissions_quantity_tonnes,latitude,longitude,year
32439238,Tororo Cement Plant,manufacturing,cement,pm2_5,7904.77,0.6604,34.1568,2024
1377014,Kampala City council,buildings,residential-onsite-fuel-usage,pm2_5,6363.36,0.3172,32.5898,2025
1377014,Kampala City council,buildings,residential-onsite-fuel-usage,pm2_5,6359.83,0.3172,32.5898,2024
1377133,Jinja County,buildings,residential-onsite-fuel-usage,pm2_5,5893.33,0.4351,32.5865,2025
1377133,Jinja County,buildings,residential-onsite-fuel-usage,pm2_5,5860.26,0.4351,32.5865,2024
32439238,Tororo Cement Plant,manufacturing,cement,pm2_5,5451.82,0.6604,34.1568,2025
1377131,Busiiro County,buildings,residential-onsite-fuel-usage,pm2_5,4550.14,0.2874,32.4738,2025
1377131,Busiiro County,buildings,residential-onsite-fuel-usage,pm2_5,4497.51,0.2874,32.4738,2024
32439238,Tororo Cement Plant,manufacturing,cement,pm2_5,3342.15,0.6604,34.1568,2026
1377014,Kampala City council,buildings,residential-onsite-fuel-usage,pm2_5,3155.4,0.3172,32.5898,2026
1377133,Jinja County,buildings,residential-onsite-fuel-usage,pm2_5,2929.11,0.4351,32.5865,2026
1897931,Hima Cement Plant,manufacturing,cement,pm2_5,2422.18,0.2918,30.1824,2025
1897931,Hima Cement Plant,manufacturing,cement,pm2_5,2360.51,0.2918,30.1824,2024
1377131,Busiiro County,buildings,residential-onsite-fuel-usage,pm2_5,2275.8,0.2874,32.4738,2026
1377059,Bukoto County,buildings,residential-onsite-fuel-usage,pm2_5,2012.95,-0.4492,31.3976,2025
1377093,Mukono County,buildings,residential-onsite-fuel-usage,pm2_5,1982.89,0.3292,32.7791,2025
1377093,Mukono County,buildings,residential-onsite-fuel-usage,pm2_5,1953.43,0.3292,32.7791,2024
1377059,Bukoto County,buildings,residential-onsite-fuel-usage,pm2_5,1944.8,-0.4492,31.3976,2024
1376972,Oyam County,buildings,residential-onsite-fuel-usage,pm2_5,1788.28,2.349,32.4234,2025
1376980,Bukooli County,buildings,residential-onsite-fuel-usage,pm2_5,1757.82,0.4371,33.7844,2025
1376972,Oyam County,buildings,residential-onsite-fuel-usage,pm2_5,1715.24,2.349,32.4234,2024
1376980,Bukooli County,buildings,residential-onsite-fuel-usage,pm2_5,1674.21,0.4371,33.7844,2024
1377134,Aringa County,buildings,residential-onsite-fuel-usage,pm2_5,1630.57,3.4924,31.2846,2025
1377125,Soroti County,buildings,residential-onsite-fuel-usage,pm2_5,1592.13,1.7908,33.6061,2025
1377134,Aringa County,buildings,residential-onsite-fuel-usage,pm2_5,1564.18,3.4924,31.2846,2024
1377125,Soroti County,buildings,residential-onsite-fuel-usage,pm2_5,1517.8,1.7908,33.6061,2024
1377050,Erute County,buildings,residential-onsite-fuel-usage,pm2_5,1500.65,2.335,32.9387,2025
1377053,Moroto County,buildings,residential-onsite-fuel-usage,pm2_5,1491.1,2.2694,33.3212,2025
1377046,Mwenge County,buildings,residential-onsite-fuel-usage,pm2_5,1488.16,0.6456,30.6585,2025
1377088,Buwekula County,buildings,residential-onsite-fuel-usage,pm2_5,1486.88,0.5168,31.4108,2025
1567100,Tembo Steels Iganga plant,manufacturing,iron-and-steel,pm2_5,1476.89,0.6155,33.458,2024
1377050,Erute County,buildings,residential-onsite-fuel-usage,pm2_5,1451.11,2.335,32.9387,2024
1376988,Samia-Bugwe County,buildings,residential-onsite-fuel-usage,pm2_5,1439.37,0.4079,34.0146,2025
1377053,Moroto County,buildings,residential-onsite-fuel-usage,pm2_5,1430.94,2.2694,33.3212,2024
1377046,Mwenge County,buildings,residential-onsite-fuel-usage,pm2_5,1413.69,0.6456,30.6585,2024
1377088,Buwekula County,buildings,residential-onsite-fuel-usage,pm2_5,1411.3,0.5168,31.4108,2024
1377027,Amuria County,buildings,residential-onsite-fuel-usage,pm2_5,1395.87,1.9835,33.7075,2025
1376988,Samia-Bugwe County,buildings,residential-onsite-fuel-usage,pm2_5,1380.72,0.4079,34.0146,2024
1377026,Busongora County,buildings,residential-onsite-fuel-usage,pm2_5,1365.53,0.1386,30.1383,2025
1377026,Busongora County,buildings,residential-onsite-fuel-usage,pm2_5,1335.66,0.1386,30.1383,2024
1377027,Amuria County,buildings,residential-onsite-fuel-usage,pm2_5,1321.96,1.9835,33.7075,2024
1377045,Kyaka County,buildings,residential-onsite-fuel-usage,pm2_5,1302.45,0.4832,31.0007,2025
1567100,Tembo Steels Iganga plant,manufacturing,iron-and-steel,pm2_5,1296.54,0.6155,33.458,2025
1377045,Kyaka County,buildings,residential-onsite-fuel-usage,pm2_5,1222.53,0.4832,31.0007,2024
1376994,Bugahya County,buildings,residential-onsite-fuel-usage,pm2_5,1218.36,1.5331,31.2461,2025
1376994,Bugahya County,buildings,residential-onsite-fuel-usage,pm2_5,1164.31,1.5331,31.2461,2024
1377021,Kinkiizi County,buildings,residential-onsite-fuel-usage,pm2_5,1160.31,-0.7462,29.7243,2025
1376974,Ayivu County,buildings,residential-onsite-fuel-usage,pm2_5,1133.04,3.0509,30.8914,2025
1376974,Ayivu County,buildings,residential-onsite-fuel-usage,pm2_5,1124.39,3.0509,30.8914,2024
1377019,Kibale County,buildings,residential-onsite-fuel-usage,pm2_5,1117.44,0.309,30.6093,2025
1377015,Budiope County,buildings,residential-onsite-fuel-usage,pm2_5,1103.23,1.2356,33.1704,2025
1377114,Kooki County,buildings,residential-onsite-fuel-usage,pm2_5,1101.56,-0.6871,31.3193,2025
1377021,Kinkiizi County,buildings,residential-onsite-fuel-usage,pm2_5,1101.17,-0.7462,29.7243,2024
1377105,Agago County,buildings,residential-onsite-fuel-usage,pm2_5,1078.83,2.9479,33.3861,2025
1376978,Terego County,buildings,residential-onsite-fuel-usage,pm2_5,1069.85,3.1847,31.1923,2025
1377015,Budiope County,buildings,residential-onsite-fuel-usage,pm2_5,1061.49,1.2356,33.1704,2024
1376969,Kole County,buildings,residential-onsite-fuel-usage,pm2_5,1060.89,2.3017,32.7356,2025
1376970,Kwania County,buildings,residential-onsite-fuel-usage,pm2_5,1057.68,1.8865,32.7679,2025
1377072,Ibanda County,buildings,residential-onsite-fuel-usage,pm2_5,1056.37,-0.0599,30.4923,2025
1377019,Kibale County,buildings,residential-onsite-fuel-usage,pm2_5,1056.11,0.309,30.6093,2024
1377091,Buikwe County,buildings,residential-onsite-fuel-usage,pm2_5,1054.86,0.3117,33.0147,2025
1377074,Kashari County,buildings,residential-onsite-fuel-usage,pm2_5,1046.1,-0.4175,30.5739,2025
1377114,Kooki County,buildings,residential-onsite-fuel-usage,pm2_5,1045.57,-0.6871,31.3193,2024
1377091,Buikwe County,buildings,residential-onsite-fuel-usage,pm2_5,1039.45,0.3117,33.0147,2024
1376978,Terego County,buildings,residential-onsite-fuel-usage,pm2_5,1028.79,3.1847,31.1923,2024
1376985,Igara County,buildings,residential-onsite-fuel-usage,pm2_5,1027.2,-0.4819,30.1683,2025
1377059,Bukoto County,buildings,residential-onsite-fuel-usage,pm2_5,1023.83,-0.4492,31.3976,2026
1377105,Agago County,buildings,residential-onsite-fuel-usage,pm2_5,1023.07,2.9479,33.3861,2024
1376969,Kole County,buildings,residential-onsite-fuel-usage,pm2_5,1022.8,2.3017,32.7356,2024
1377065,Kibanda County,buildings,residential-onsite-fuel-usage,pm2_5,1022.54,1.9938,32.0498,2025
1897931,Hima Cement Plant,manufacturing,cement,pm2_5,1020.56,0.2918,30.1824,2026
1377072,Ibanda County,buildings,residential-onsite-fuel-usage,pm2_5,1010.96,-0.0599,30.4923,2024
1377074,Kashari County,buildings,residential-onsite-fuel-usage,pm2_5,1005.25,-0.4175,30.5739,2024
1376975,Koboko County,buildings,residential-onsite-fuel-usage,pm2_5,1001.96,3.5368,30.9839,2025
1377049,Dokolo County,buildings,residential-onsite-fuel-usage,pm2_5,999.09,1.9103,33.0751,2025
1376970,Kwania County,buildings,residential-onsite-fuel-usage,pm2_5,998.65,1.8865,32.7679,2024
1377093,Mukono County,buildings,residential-onsite-fuel-usage,pm2_5,994.36,0.3292,32.7791,2026
1377056,Katikamu County,buildings,residential-onsite-fuel-usage,pm2_5,994.17,0.8445,32.5214,2025
