headword,pos,definition,clarifier,example_runyankore,example_english,section
a,n,first letter of the Roman alphabet,,,,A
aa,int,"a word used to express wonder, surprise or astonishment",,,,A
aba,adj,used to refer to more than one person,these,Aba n'aboojo.,These are boys.,A
aba,prep,belonging to a person or place,"of, for",Aba Kampala.,The ones of Kampala.,A
abaana,n,,,,,A
abaana,,school children,,,,A
abaanyu,n,someone's relatives,,,,A
abaawe,n,a word used to refer to one's family members,,,,A
abacwezi,n,a group of people who are believed to have lived in the ancient Nkole kingdom and were associated with spiritual powers,,,,A
abahitsi,n,undertakers for burrying a king,,,,A
abahuruzi,n,soldiers with experience and skill in fighting especially in the past,warriors,Abahuruzi baaraba aha beekoreire ebintu ebi baanyaga.,Worriors have passed here carrying loot.,A
abaitu,n,a word used to refer to my relatives,our relatives,,,A
abambari,n,favoured male people who used to work in the palace,,,,A
abaregye,n,"people who are not on one's side, opposers, competitors",enemies,,,A
abaregyera,n,a type of cows that are known for moving very fast and can move long distances,,,,A
abarongo,n,,,,,A
abaroreezi,n,uninvited people who watch what is going on at a ceremony,onlookers,,,A
abarungi,adj,beautiful or good looking people,,,,A
abarungi,adj,good hearted people,,,,A
abaryakamwe,n,people who share common interests,intimate friends,,,A
abashendekyereza,n,,,,,A
abashendekyeza,n,people who accompany a bride when she is getting married,,,,A
abashomi,n,believers or religious people those who have faith,,,,A
abashomi,n,,,,,A
abatangaaza,n,a name that was given to the cows for Ntare one of the former kings of Ankole,,,,A
abatangaazi,n,people who brought cows to Buganda when there was drought in Ankole in the first half of the 20th century,,,,A
abateruzi,n,men who carry luggage,potters,,,A
abateruzi,n,people who used to lift makeshift brides,,,,A
abatuukurani,n,people who were killed by swords or spears,,,,A
Abayonga,n,dark people especially of the Bahinda clan,,,,A
abaziiki,n,people who attend a burial,mourners,,,A
abaziiki,n,undertakers,,,,A
abeeteeraine,n,people who come together for a common cause,,,,A
agandi,int,how are you?,greeting,Agandi sebo?,"How are you, sir?",A
ahaasi,prep,,,,,A
ahabiso,adv,an unclosed place and abit distant,,,,A
ahabiso,adv,in future,,,,A
ahabw'okuba,conj,because,,,,A
ahagati,adv,bordered by two things,between,,,A
ahagati,adv,being at the centre,,,,A
ahaifo,adv,a place at a lower level compared to the other,,,,A
ahaiguru,adv,the space above something,above,,,A
ahakuba,conj,,,,,A
ahamaisho,n,"front part of the head that comprises of the eyes, nose and the mouth",face,,,A
ahamusikye,adv,,,,,A
ahamweija,adv,a word used to refer to a place already talked about and known to two or more people,,,,A
ahandi,pron,undisclosed place,somewhere,,,A
ahandi,pron,another place,elsewhere,,,A
ahansi,adv,"the place beneath, or under",,,,A
ahantu,pron,"an area, or part of region or place",,,,A
ahanyima,adv,indicating sequence of events,,Ahanyima ho tukaba twateisize ngu tuze kumutaayaayira.,Earlier on we had agreed to go and visit her.,A
ahanyima,adv,afterwards,,,,A
aharubaju,adv,on the side out of other people's hearing,,,,A
aharuguru,adv,an area that is above the other in terms of position,raised area,,,A
aheekiikire,adv,a place which cannot be easily seen or accessed,,,,A
aheeru,adv,out of a designated place,outside,,,A
aheeru,adv,,,,,A
aho,adv,at a particular position of a place,there,,,A
ahonaaho,adv,acting swifly,quickly,,,A
ahonaaho,adv,increasing on the pace of doing something,,,,A
ahonaaho,adv,doing something in time,,,,A
ai,int,often used when a person is annoyed or shocked,,,,A
ai,int,"a response to something bad, e.g. pain",,,,A
ai nuunu,phr,"expression to mean oh, how good!",,,,A
aima,int,shame up on you!,expression of disgust,,,A
-aitu,adj,belonging to or connected with a group that one is part of,us/our,Ente yaitu ebuzire.,Our cow got lost.,A
akaabunga,n,up in the sky,,,,A
akaakiiro,n,too much urgue for something to drink,thirst,,,A
akaaku,n,trunk of an elephant that it uses for feeding and protection,,,,A
akaamunaana,n,explaining beyond the truth of the matter,exaggeration,,,A
akaanirampanga,n,a bird of prey with hooked bill and sharp eye sight,hawk,,,A
akaano,n,low lying part between hills,valley,Enjura egwire akaano kaijura amaizi.,It rained and filled the valley.,A
akaanya,n,shortest period of time,,Nimbaasa kugambaho naiwe akaanya kakye?,Can I talk to you for a moment?,A
akaanya,n,space between people or things,distance,Kuruga aha irwariro kuhika owaabo hariho akaanya.,It is a bit far from the hospital to their home.,A
akaanya-bwanya,n,shortest time possible,a short time,,,A
akaara-kahera,n,small finger,toe or inger,empeta akagijwara omu kaara-kahera.,He put the ring in the smallest finger.,A
akaari,n,a loud cry of happiness or excitement,ululation,,,A
akaaro,n,a group of households in a rural setting,small village,,,A
akaatika,n,a line on the surface of something along which it has split,small crack,Enyungu egi eine akaatika.,This pot has got a crack.,A
akaaya,n,a type of swamp,,,,A
akabaaho,n,a sawed piece of wood,small piece of timber,,,A
akabaaho,n,a designed piece of wood that is inserted in the nose of a calfto stop it from suckling,,,,A
akabaaho,n,a place where convicts are hanged,gallows,,,A
akabaare,n,a small stone used for sucking venon from the body,blackstone,,,A
akababa-bahiigi,n,a small caterpillar,,,,A
akababagazi,n,initial stage of flowering,,Obushaza bwahika aha kababagazi.,Peas have reached the flowering stage.,A
akabanda,n,"a thin flat round cake of sweetened dough, yellow bananas and cassava flour",pancake,,,A
akabi,n,likehood of being injured or killed,danger or trouble,,,A
akabibiro,n,small seed basket that is used in sowing,small basket,,,A
akabibiro,n,covered area outside a house which is often enclosed,verandah,,,A
akabindi,n,nose of a buffalo or hyena,,,,A
akabindirano,adv,to be taken in an impromptu manner,,Bamutwarire omu kabindirano k'okukwata embura-mukoro.,He was taken in an impromptu operation to arrest idlers.,A
akabindirano,adv,love galore,unditional excessive love,,,A
akabogye,n,sitting sideways with legs tucked inward,,Omushaija yaashitama kabogye.,The man is seated with his legs tucked inward.,A
akabonero,n,a sign of a cross,a sign,Yaakora akabonero k'omusharaba arikutaaha omu iramizo.,He made a sign of the cross when he was entering the church.,A
akabonero,n,a mark used to show evidence or meaning of something,,,,A
akabubi,n,vagina membrane,hymen,,,A
akabumbuzo,n,a place where everything is peaceful,calm place,,,A
akaburyo,n,small hill,hillock,,,A
akabuuza,n,a punctuation mark used to pause a question,question mark,,,A
akaca,n,sparrow-hawk,,Akaca kaatwara akaana k'enkoko.,A sparrow-hawk has taken a chick.,A
akacabari,n,the act of stroking the clitoris during sexual intercourse,,,,A
akacancabari,n,an old torn cloth,rags,,,A
