year,mobile_subscriptions_per_100,internet_users_pct,fixed_broadband_per_100
1995,0.01,0.0,
1996,0.02,0.0,
1997,0.02,0.01,
1998,0.13,0.07,
1999,0.24,0.11,
2000,0.53,0.16,
2001,1.15,0.24,
2002,1.54,0.38,
2003,2.95,0.46,
2004,4.29,0.72,
2005,4.7,1.74,0.0
2006,6.98,2.53,0.0
2007,14.15,3.67,0.01
2008,28.01,3.88,0.02
2009,29.84,4.1,0.02
2010,39.6,4.3,0.04
2011,50.06,4.6,0.11
2012,47.63,4.8,0.11
2013,51.13,5.1,0.12
2014,55.96,5.4,0.15
2015,53.88,5.7,0.22
2016,58.86,5.9,0.24
2017,62.1,7.42,
2018,58.88,9.33,
2019,59.06,11.73,0.08
2020,62.28,7.4,0.08
2021,65.62,10,0.08
2022,70.14,9.64,0.09
2023,76.3,9.29,0.09
2024,83.17,8.95,0.21
