district_name,district_pcode,region_name,region_pcode,country_name,country_code,year_standard
Abim,UG3064,Northern,UG3,Uganda,UG,2022
Adjumani,UG3065,Northern,UG3,Uganda,UG,2022
Agago,UG3066,Northern,UG3,Uganda,UG,2022
Alebtong,UG3067,Northern,UG3,Uganda,UG,2022
Amolatar,UG3068,Northern,UG3,Uganda,UG,2022
Amudat,UG3069,Northern,UG3,Uganda,UG,2022
Amuria,UG2027,Eastern,UG2,Uganda,UG,2022
Amuru,UG3070,Northern,UG3,Uganda,UG,2022
Apac,UG3071,Northern,UG3,Uganda,UG,2022
Arua,UG3072,Northern,UG3,Uganda,UG,2022
Budaka,UG2028,Eastern,UG2,Uganda,UG,2022
Bududa,UG2029,Eastern,UG2,Uganda,UG,2022
Bugiri,UG2030,Eastern,UG2,Uganda,UG,2022
Bugweri,UG2031,Eastern,UG2,Uganda,UG,2022
Buhweju,UG4101,Western,UG4,Uganda,UG,2022
Buikwe,UG1001,Central,UG1,Uganda,UG,2022
Bukedea,UG2032,Eastern,UG2,Uganda,UG,2022
Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2022
Bukwo,UG2033,Eastern,UG2,Uganda,UG,2022
Bulambuli,UG2034,Eastern,UG2,Uganda,UG,2022
Buliisa,UG4102,Western,UG4,Uganda,UG,2022
Bundibugyo,UG4103,Western,UG4,Uganda,UG,2022
Bunyangabu,UG4104,Western,UG4,Uganda,UG,2022
Bushenyi,UG4105,Western,UG4,Uganda,UG,2022
Busia,UG2035,Eastern,UG2,Uganda,UG,2022
Butaleja,UG2036,Eastern,UG2,Uganda,UG,2022
Butambala,UG1003,Central,UG1,Uganda,UG,2022
Butebo,UG2037,Eastern,UG2,Uganda,UG,2022
Buvuma,UG1004,Central,UG1,Uganda,UG,2022
Buyende,UG2038,Eastern,UG2,Uganda,UG,2022
Dokolo,UG3073,Northern,UG3,Uganda,UG,2022
Gomba,UG1005,Central,UG1,Uganda,UG,2022
Gulu,UG3074,Northern,UG3,Uganda,UG,2022
Hoima,UG4106,Western,UG4,Uganda,UG,2022
Ibanda,UG4107,Western,UG4,Uganda,UG,2022
Iganga,UG2039,Eastern,UG2,Uganda,UG,2022
Isingiro,UG4108,Western,UG4,Uganda,UG,2022
Jinja,UG2040,Eastern,UG2,Uganda,UG,2022
Kaabong,UG3075,Northern,UG3,Uganda,UG,2022
Kabale,UG4109,Western,UG4,Uganda,UG,2022
Kabarole,UG4110,Western,UG4,Uganda,UG,2022
Kaberamaido,UG2041,Eastern,UG2,Uganda,UG,2022
Kagadi,UG4111,Western,UG4,Uganda,UG,2022
Kakumiro,UG4112,Western,UG4,Uganda,UG,2022
Kalaki,UG2042,Eastern,UG2,Uganda,UG,2022
Kalangala,UG1006,Central,UG1,Uganda,UG,2022
Kaliro,UG2043,Eastern,UG2,Uganda,UG,2022
Kalungu,UG1007,Central,UG1,Uganda,UG,2022
Kampala,UG1008,Central,UG1,Uganda,UG,2022
Kamuli,UG2044,Eastern,UG2,Uganda,UG,2022
Kamwenge,UG4113,Western,UG4,Uganda,UG,2022
Kanungu,UG4114,Western,UG4,Uganda,UG,2022
Kapchorwa,UG2045,Eastern,UG2,Uganda,UG,2022
Kapelebyong,UG2046,Eastern,UG2,Uganda,UG,2022
Karenga,UG3076,Northern,UG3,Uganda,UG,2022
Kasese,UG4115,Western,UG4,Uganda,UG,2022
Kassanda,UG1009,Central,UG1,Uganda,UG,2022
Katakwi,UG2047,Eastern,UG2,Uganda,UG,2022
Kayunga,UG1010,Central,UG1,Uganda,UG,2022
Kazo,UG4116,Western,UG4,Uganda,UG,2022
Kibaale,UG4117,Western,UG4,Uganda,UG,2022
Kiboga,UG1011,Central,UG1,Uganda,UG,2022
Kibuku,UG2048,Eastern,UG2,Uganda,UG,2022
Kikuube,UG4118,Western,UG4,Uganda,UG,2022
Kiruhura,UG4119,Western,UG4,Uganda,UG,2022
Kiryandongo,UG4120,Western,UG4,Uganda,UG,2022
Kisoro,UG4121,Western,UG4,Uganda,UG,2022
Kitagwenda,UG4122,Western,UG4,Uganda,UG,2022
Kitgum,UG3077,Northern,UG3,Uganda,UG,2022
Koboko,UG3078,Northern,UG3,Uganda,UG,2022
Kole,UG3079,Northern,UG3,Uganda,UG,2022
Kotido,UG3080,Northern,UG3,Uganda,UG,2022
Kumi,UG2049,Eastern,UG2,Uganda,UG,2022
Kwania,UG3081,Northern,UG3,Uganda,UG,2022
Kween,UG2050,Eastern,UG2,Uganda,UG,2022
Kyankwanzi,UG1012,Central,UG1,Uganda,UG,2022
Kyegegwa,UG4123,Western,UG4,Uganda,UG,2022
Kyenjojo,UG4124,Western,UG4,Uganda,UG,2022
Kyotera,UG1013,Central,UG1,Uganda,UG,2022
Lamwo,UG3082,Northern,UG3,Uganda,UG,2022
Lira,UG3083,Northern,UG3,Uganda,UG,2022
Luuka,UG2051,Eastern,UG2,Uganda,UG,2022
Luwero,UG1014,Central,UG1,Uganda,UG,2022
Lwengo,UG1015,Central,UG1,Uganda,UG,2022
Lyantonde,UG1016,Central,UG1,Uganda,UG,2022
Madi Okollo,UG3084,Northern,UG3,Uganda,UG,2022
Manafwa,UG2052,Eastern,UG2,Uganda,UG,2022
Maracha,UG3085,Northern,UG3,Uganda,UG,2022
Masaka,UG1017,Central,UG1,Uganda,UG,2022
Masindi,UG4125,Western,UG4,Uganda,UG,2022
Mayuge,UG2053,Eastern,UG2,Uganda,UG,2022
