year,electricity_access_total_pct,electricity_access_urban_pct,electricity_access_rural_pct,renewable_electricity_output_pct,renewable_energy_consumption_pct
1991,5.6,33.6,1.98,,96.6
1992,,32.11,,,96.7
1993,,33.27,,,96.8
1994,0.53,34.42,,,97.3
1995,6.8,40.2,1.88,,96.5
1996,2.81,36.7,,,96.3
1997,3.94,37.82,,,95.9
1998,5.07,38.91,,,95.4
1999,6.2,39.99,0.53,,95.5
2000,7.4,41,1.6,3.49,95.3
2001,8.6,43.9,2.3,3.95,95.5
2002,7.8,39.3,2,4.23,95.6
2003,10.5,44.2,4.1,2.79,95.6
2004,11.6,45.3,4.9,3.01,95.3
2005,8.9,49,0.7,3.6,94.5
2006,9,41.8,2.1,3.64,94.2
2007,14.8,48.7,7.4,-3.8,94.1
2008,15.9,49.9,8.3,-7.84,94.1
2009,10,45,1.9,-2.78,94.3
2010,12.1,48,3.5,-1.91,93.6
2011,14.6,55.4,4.5,5.04,93.3
2012,20.5,54.6,11.7,6.36,93.4
2013,13.9,55.8,2.8,19.22,93.1
2014,20.4,51.4,11.9,19.47,92.4
2015,18.5,51.9,9,8.9,91.7
2016,26.7,57.5,17.7,6.68,91.4
2017,32.4,63.4,23,6.87,91.3
2018,41.9,72,32.5,7.69,90.5
2019,41.3,70.8,31.8,8.22,90.5
2020,42.1,70.1,32.8,7.8,91.6
2021,45.2,72.3,35.9,2.06,91
2022,47.1,72,35.9,,90.9
2023,51.5,76.4,42.4,,
2024,55.3,78.3,44.8,,
