year,forest_area_pct,agricultural_land_pct
1990,17.89,59.87
1991,17.69,60.22
1992,17.48,60.32
1993,17.27,60.47
1994,17.07,60.57
1995,16.86,60.67
1996,16.66,60.92
1997,16.45,60.92
1998,16.24,61.27
1999,16.04,61.37
2000,15.83,62.62
2001,15.62,63.12
2002,15.42,64.12
2003,15.21,65.62
2004,15.0,66.37
2005,14.8,66.37
2006,14.59,67.38
2007,14.38,68.38
2008,14.18,69.64
2009,13.97,70.64
2010,13.72,71.14
2011,13.51,71.64
2012,13.3,71.89
2013,13.1,71.89
2014,12.89,71.89
2015,12.69,71.89
2016,12.48,71.89
2017,12.28,71.89
2018,12.07,71.89
2019,11.86,71.89
2020,11.66,71.89
2021,11.45,71.89
2022,11.25,71.89
2023,11.04,71.89
