year,gdp_current_usd,gdp_growth_annual_pct,gdp_per_capita_usd,inflation_cpi_annual_pct,population_total
1976,2447300000,,203.31,,12037294
1977,2936470588.24,,237.58,,12359669
1978,2420260869.57,,190.69,,12692113
1979,2139025000,,164.51,,13002163
1980,1244610000,,93.75,,13275741
1981,1337300000,,98.65,,13556452
1982,2177500000,,156.95,,13873631
1983,2240333333.33,5.7446,157.53,,14221881
1984,3615647477.05,-0.3447,247.52,,14607677
1985,3519695443.53,-3.3064,234.28,,15023681
1986,3923244049.96,0.3901,253.64,,15467579
1987,6269522042.12,3.9619,392.97,,15954170
1988,6508931651.67,8.2671,395.19,,16470483
1989,5276480799.34,6.3619,310.19,,17010698
1990,4304399310.31,6.4741,244.99,,17569897
1991,3321729159.62,5.5541,182.96,,18155901
1992,2857457761.91,3.4184,152.11,,18785032
1993,3220439044.19,8.3263,165.62,,19445161
1994,3990430446.71,6.4036,198.44,10.0368,20108801
1995,5755818842.49,11.5232,278.52,6.5501,20665667
1996,6044585326.94,9.0721,284.7,7.1916,21231550
1997,6269333313.17,5.1,286.85,8.169,21856046
1998,6584815846.53,4.9053,292.45,0.0688,22515806
1999,5998563257.95,8.0539,257.92,5.7774,23257281
2000,6193246837.1,3.1419,258.05,3.392,24000150
2001,5840503868.52,5.1837,236.02,1.8651,24745676
2002,6178563591.12,8.7327,241.98,-0.2875,25532870
2003,6606884275.23,6.4733,250.72,8.6805,26352124
2004,7939487547.77,6.8072,292.38,3.7213,27154515
2005,9239221763.06,6.3326,330.41,8.4487,27963289
2006,9977647682.97,10.7847,346.52,7.3107,28794003
2007,11902564494.88,8.4124,401.39,6.1385,29653430
2008,14440404132.2,8.7088,472.84,12.0509,30539553
2009,25127805566.66,6.8015,798.95,13.0173,31451151
2010,26673441430.79,5.6376,823.49,3.9766,32390802
2011,27871725241.47,9.3917,835.62,16.5643,33354543
2012,27305915910.79,3.8375,795.22,12.679,34337438
2013,28915786516.61,3.5869,818.29,4.9052,35337042
2014,32612397257.45,5.1063,896.05,3.0757,36395539
2015,32387183730.1,5.1879,862.93,5.5897,37531446
2016,29203988696.26,4.781,752.7,5.7064,38799152
2017,30744473841.42,3.1314,765.22,5.2097,40177388
2018,32927025619.68,6.3039,792.17,2.616,41565831
2019,35353061003.44,6.4387,822.17,2.8676,42999637
2020,37600368241.67,2.9513,845.77,3.3133,44457152
2021,40529788748.67,3.5366,882.79,2.2046,45910930
2022,45565333210.91,4.588,963.07,7.1958,47312719
2023,48768955863.32,5.337,1002.31,5.3509,48656601
2024,53911907079.05,6.0556,1077.91,3.3234,50015092
2025,61985829288.15,6.3318,1206.3,3.5808,51384894
